# Unroll 2 gemm
# N 	 time 	 GFLOPS/s
200 	 0.040 	 0.405
240 	 0.074 	 0.372
280 	 0.112 	 0.393
320 	 0.181 	 0.361
360 	 0.251 	 0.372
400 	 0.389 	 0.329
440 	 0.479 	 0.356
480 	 0.708 	 0.312
520 	 0.908 	 0.310
560 	 1.297 	 0.271
600 	 1.573 	 0.275
640 	 2.268 	 0.231
680 	 2.833 	 0.222
720 	 3.188 	 0.234
760 	 3.978 	 0.221
800 	 4.696 	 0.218
840 	 5.560 	 0.213
880 	 6.520 	 0.209
920 	 7.526 	 0.207
960 	 9.665 	 0.183
1000 	 9.927 	 0.201
1040 	 11.196 	 0.201
1080 	 12.505 	 0.201
1120 	 15.587 	 0.180
1160 	 15.322 	 0.204
1200 	 16.717 	 0.207
