# Intel Core i7 2.3GHz (Turbo Boost 3.3GHz), 8Gb RAM
# -inline 2

SpaceWolf:ocaml andrei$ ./matmult
*** Array gemm
N 	 time 	 GFLOPS/s
200 	 0.039 	 0.413
240 	 0.069 	 0.402
280 	 0.107 	 0.409
320 	 0.168 	 0.390
360 	 0.232 	 0.402
400 	 0.349 	 0.366
440 	 0.426 	 0.400
480 	 0.622 	 0.356
520 	 0.823 	 0.342
560 	 1.181 	 0.297
600 	 1.422 	 0.304
640 	 2.039 	 0.257
680 	 2.449 	 0.257
720 	 2.871 	 0.260
760 	 3.780 	 0.232
800 	 4.353 	 0.235
840 	 5.280 	 0.225
880 	 6.280 	 0.217
920 	 7.456 	 0.209
960 	 9.128 	 0.194
1000 	 9.347 	 0.214
1040 	 10.371 	 0.217
1080 	 11.939 	 0.211
1120 	 14.749 	 0.191
1160 	 14.575 	 0.214
1200 	 16.649 	 0.208

*** Bigarray gemm
N 	 time 	 GFLOPS/s
200 	 0.263 	 0.061
240 	 0.449 	 0.062
280 	 0.711 	 0.062
320 	 1.079 	 0.061
360 	 1.502 	 0.062
400 	 2.093 	 0.061
440 	 2.832 	 0.060
480 	 3.763 	 0.059
520 	 4.952 	 0.057
560 	 6.424 	 0.055
600 	 8.118 	 0.053
640 	 11.415 	 0.046
680 	 12.399 	 0.051
720 	 14.793 	 0.050
760 	 17.516 	 0.050
800 	 21.478 	 0.048
840 	 23.951 	 0.049
880 	 27.669 	 0.049
920 	 31.690 	 0.049
960 	 41.794 	 0.042
1000 	 41.321 	 0.048
1040 	 46.127 	 0.049
1080 	 51.960 	 0.048
1120 	 66.414 	 0.042
1160 	 64.714 	 0.048
1200 	 72.676 	 0.048
